track_name,artist_name,album_name,track_id,preview_url,popularity,release_date,song_url,genres,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
6.9322811854781e-310,6.93228108665073e-310,6.9322811854117e-310,6.93228108666654e-310,6.9322817775221e-310,6.9323419695824e-310,6.93228175944324e-310,6.93228116396054e-310,6.93228198351743e-310,6.9322817717008e-310,6.93228177174034e-310,6.9322817713862e-310,6.93228177153955e-310,6.93228177192374e-310,6.93234196953972e-310,6.93228177171504e-310,6.932281771587e-310,6.9323419695334e-310,6.93228177194113e-310,6.93228177188737e-310,6.93234196953814e-310,6.93228177165496e-310
20/20,Lil Tjay,20/20,4Hqh0dS4x07zuRw6eBTO7p,https://p.scdn.co/mp3-preview/72dc8c9168171e5999b9b9ec2c36b7ea54aa5740?cid=20390ab532e3448ea3f81b92357edf65,64,2020-01-01,https://open.spotify.com/track/4Hqh0dS4x07zuRw6eBTO7p,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",0.557,0.886,230448,0.336,0,4,0.0933,-12.779,1,0.239,100.044,4,0.536
440 Volt,Vishal-Shekhar,Sultan,4K1zKRQr4GzysIYelA2XUw,https://p.scdn.co/mp3-preview/b5aa07749f0e0e9ce75f01dda1a935bfb85aecf9?cid=20390ab532e3448ea3f81b92357edf65,49,2016-05-31,https://open.spotify.com/track/4K1zKRQr4GzysIYelA2XUw,"['desi pop', 'filmi', 'modern bollywood']",0.257,0.695,268121,0.717,0,6,0.0681,-7.939,1,0.0686,162.084,3,0.771
A B C D E F G H I Love You,Hariharan,Hum Saath - Saath Hain (Original Motion Picture Soundtrack),6bqIRqzCCAv0wocLlsj2xQ,https://p.scdn.co/mp3-preview/26c4ed0173d52ef21ef8e5e434f2386b479b9fde?cid=20390ab532e3448ea3f81b92357edf65,44,1999,https://open.spotify.com/track/6bqIRqzCCAv0wocLlsj2xQ,"['filmi', 'ghazal']",0.455,0.804,272483,0.726,0.000184,0,0.0819,-10.335,0,0.0521,116.071,4,0.856
FF4,Flying Lotus,Flamagra,39nSL4qbk0rsGNSVJb5TWK,https://p.scdn.co/mp3-preview/f4f91f59e1fcfc49ea58852572b2daf40238b1bb?cid=20390ab532e3448ea3f81b92357edf65,54,2019-05-24,https://open.spotify.com/track/39nSL4qbk0rsGNSVJb5TWK,"['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'indietronica', 'instrumental hip hop', 'intelligent dance music', 'jazztronica', 'psychedelic hip hop', 'wonky']",0.43,0.607,71520,0.184,0.937,6,0.117,-7.69,1,0.0681,81.244,4,0.486
Abcdario,Eden Muñoz,Abcdario,0qCPD6ilr9nXkI4KVZgcns,https://p.scdn.co/mp3-preview/cffa97f5cc84817bb7199e7895a67b689d76fef6?cid=20390ab532e3448ea3f81b92357edf65,88,2023-05-13,https://open.spotify.com/track/0qCPD6ilr9nXkI4KVZgcns,"['corrido', 'nueva musica mexicana', 'sierreno']",0.783,0.703,220650,0.429,1.48e-06,8,0.113,-9.076,1,0.0308,129.034,4,0.416
Abcd -Yaariyan,Pritam,Yaariyan,6n92iq9Kni83H6IroZ3RJJ,https://p.scdn.co/mp3-preview/e6d0d62a7d58dfdee1d9acfdb3dc0550309f4252?cid=20390ab532e3448ea3f81b92357edf65,49,2013-12-09,https://open.spotify.com/track/6n92iq9Kni83H6IroZ3RJJ,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.0217,0.699,205513,0.815,0,0,0.0466,-4.282,1,0.0584,127.985,4,0.737
Aa Aa E Ooh Ooh Ooh Mera Dil Na Todo,Abhijeet,Raja Babu (Original Motion Picture Soundtrack),0XVLt55OFzH5qXQ9hmTHHz,https://p.scdn.co/mp3-preview/67329471fc465321a984d4b5259700f7d31aa757?cid=20390ab532e3448ea3f81b92357edf65,50,1994-01-21,https://open.spotify.com/track/0XVLt55OFzH5qXQ9hmTHHz,"['filmi', 'modern bollywood']",0.437,0.857,295840,0.938,2.56e-05,8,0.101,-5.697,0,0.0857,116.438,4,0.724
Aa Bhi Ja Aa Bhi Ja - Sur (The Melody Of Life) / Soundtrack Version,Lucky Ali,Old Bollywood Songs,5v46PImGjd8vOGUMf9eVLW,https://p.scdn.co/mp3-preview/13187d04dac1139df31bfba33e99e18d10af7e4b?cid=20390ab532e3448ea3f81b92357edf65,0,2023-05-24,https://open.spotify.com/track/5v46PImGjd8vOGUMf9eVLW,"['filmi', 'modern bollywood']",0.615,0.581,358707,0.311,0.000124,0,0.257,-13.019,1,0.0279,98.991,4,0.226
Ae Sanam Aa Bhi Ja,Mukta Shankar,Picnic Moods,0sL0Ij7DDfE0R4pWUpotOF,https://p.scdn.co/mp3-preview/fe8e07d3f0c82d328bb6740d743a4a8cef2511fe?cid=20390ab532e3448ea3f81b92357edf65,0,1989-01-01,https://open.spotify.com/track/0sL0Ij7DDfE0R4pWUpotOF,[],0.0858,0.664,227049,0.822,2.05e-06,4,0.11,-8.542,1,0.0495,114.242,4,0.48
